obsid next_obsid time timestop date datestop gui_ms manvr_angle manvr_slew_err one_shot roll_err pitch_err yaw_err
17274 17275 566081902.169 566087073.2939999 2015:343:20:57:13.985 2015:343:22:23:25.110 ENAB 0.5 20.3 0.7270102500915527 1.100690941986522 0.35464349247473725 0.30553102016593214
17275 17276 566087396.169 566092583.695 2015:343:22:28:47.985 2015:343:23:55:15.511 ENAB 0.34 20.3 0.7699798941612244 1.078407637416104 0.30827754912120103 0.2844494978853958
17276 17277 566092902.47 566099100.645 2015:344:00:00:34.286 2015:344:01:43:52.461 ENAB 0.34 20.3 0.5370380878448486 3.0373356567265164 0.36192432863827034 0.3475103699909289
17277 17278 566099429.67 566104611.0450001 2015:344:01:49:21.486 2015:344:03:15:42.861 ENAB 1.15 20.4 1.3943994045257568 0.7673724536121266 0.3712009128101244 0.28742073022595044
17278 17271 566104952.37 566110141.946 2015:344:03:21:24.186 2015:344:04:47:53.762 ENAB 0.85 20.5 1.1865813732147217 0.9300142196330227 0.313306905388934 0.28460223915797866
17271 18719 566110466.871 566116778.821 2015:344:04:53:18.687 2015:344:06:38:30.637 ENAB 126.47 61.5 37.578269958496094 1.5053971968589823 0.3291250632177283 0.27020362592466
18719 51428 566119261.371 566154304.0730001 2015:344:07:19:53.187 2015:344:17:03:55.889 ENAB 0.0 20.3 4.993015289306641 3.689441989650431 0.5147639769562216 0.4034716431516006
51428 51427 566154837.073 566155290.123 2015:344:17:12:48.889 2015:344:17:20:21.939 ENAB 44.35 34.4 16.26661491394043 13.59642132242147 0.2832487286179557 0.6551315180893242
51427 51426 566156632.873 566163912.4239999 2015:344:17:42:44.689 2015:344:19:44:04.240 ENAB 155.84 51.3 11.101158142089844 2.3736687116990884 0.38937461045108035 0.39221895235098775
51426 51425 566166739.374 566181337.425 2015:344:20:31:11.190 2015:345:00:34:29.241 ENAB 78.56 33.8 20.1862850189209 1.2125038380084001 0.2571606243149469 0.27585066324631985
51425 51424 566183139.375 566186255.375 2015:345:01:04:31.191 2015:345:01:56:27.191 ENAB 78.97 34.9 8.942180633544922 1.1532572955502782 0.5152529478810406 0.43796592023303316
51424 51423 566188055.275 566198214.051 2015:345:02:26:27.091 2015:345:05:15:45.867 ENAB 161.79 51.6 23.248817443847656 1.1059815079667887 0.35303682012268894 0.32439229740928477
51423 51421 566201142.476 566202300.7260001 2015:345:06:04:34.292 2015:345:06:23:52.542 ENAB 105.15 75.2 52.89434814453125 3.5365702998078454 0.4121515571053539 0.43824221272414143
51421 18722 566204512.676 566211570.826 2015:345:07:00:44.492 2015:345:08:58:22.642 ENAB 39.72 43.9 10.399069786071777 1.4305974207002188 0.28942884085999393 0.2910206367898905
18722 18724 566212839.776 566223736.5519999 2015:345:09:19:31.592 2015:345:12:21:08.368 ENAB 111.87 59.0 16.703277587890625 1.72829335010934 0.34703499983037184 0.34457504366802627
18724 17273 566225992.577 566246158.428 2015:345:12:58:44.393 2015:345:18:34:50.244 ENAB 123.87 56.8 20.938764572143555 0.6267798151405662 0.30237046518684785 0.29481211715334166
17273 17281 566248579.478 566253739.329 2015:345:19:15:11.294 2015:345:20:41:11.145 ENAB 8.36 20.9 2.263385534286499 1.5941543211793747 0.35897553286882966 0.38495242981936073
17281 17282 566254409.679 566259591.054 2015:345:20:52:21.495 2015:345:22:18:42.870 ENAB 0.45 20.3 2.323054313659668 1.1790948643957415 0.4262935004674518 0.3133977772538804
17282 17280 566259911.879 566265100.429 2015:345:22:24:03.695 2015:345:23:50:32.245 ENAB 1.28 20.5 1.0234076976776123 4.461097201990839 0.4294942011507031 0.29192192660811467
17280 17267 566265459.179 566270641.58 2015:345:23:56:30.995 2015:346:01:22:53.396 ENAB 1.46 20.8 0.4547939598560333 1.9590480812294153 0.36592471674078864 0.2668592261321006
17267 17270 566271006.48 566277158.53 2015:346:01:28:58.296 2015:346:03:11:30.346 ENAB 1.15 20.5 3.5151543617248535 0.8385389309857272 0.3841931132203591 0.26232021024545005
17270 18449 566277509.0799999 566282690.455 2015:346:03:17:20.896 2015:346:04:43:42.271 ENAB 5.49 22.8 2.008101224899292 1.2912379494545547 0.4275912947731869 0.33156749784376915
18449 16650 566283261.38 566289869.556 2015:346:04:53:13.196 2015:346:06:43:21.372 ENAB 120.03 48.4 29.120370864868164 1.3840683994932603 0.2952364187890534 0.3318566782314955
